,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
194,Podophylum,pain in uterus and right ovary ,,,,,,,,,,,,,,,,prolapse  uterus after parturition,suppress menses with pelvic tenesmus,,,,,,piles haemorroids with prolapses anus over lifting straining during prenency,,,,,,with uterus pain with shifting noises along ascending colon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PolygonumPunctatum,,,,shooting pains through breasts,,,,,,,,,aching pain in hips and lions,,,,,,,,,,,,ammenorrhoea ,,,,,,,,,,sensation weight tension with in pelvis,,,,,,sensation asif hips were being drawn together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Psorinum,,,,breast mammae swelling painfull,,,leucorrhoea fetid lumpy with much backache debility,,,,,,,,,,,,,pimples oozing acrid fluid that burns ecoriates glands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Pulex irritanns,,,,,intense burning vagina,menses delayed increased flow saliva during,leucorrhoea profuse bad staining greenish yellow,,,,stains of menses  and leucorrhoea very hard to wash out,,backache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Pulsatilla,,,,,,tardy or delayed menses scanty thick dark black clotted changeble intermittent,leucorrhoea acrid burning creamy,,,,chilliness nausea downward pressure painfull intermittent,,pain in back tired feeling,,diarrhoea  during or after menses,,,suppressed menses frm wet foot nervous debility chlorosis,,,,,,,ammenorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Pyrogenium,bleeding haemorrhage from uterus,,,,,menses horribly offensive bad smell,,,,,pelvic cellulitis inflamatory exudate,,,,septic puerperal infection,,,,,,,,scepticaemia follow abortion,,,,,,,puerperal peritonitis with extreem fetor or strong bad smell,,,,,,,,,,,,fever at each menses  menstrual period consequent latent pelvic inflamation,,,,,post oparative cases with overwhelming profuse sepsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Radium ,,,,"right breast sore, better by hard rubbing",,menses delayed irregular and backache,,,,,,,,,,,,,,itching pruritis vulva,,,,,,,,,,aching pain abdomen over pubes when flow comes on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Raphanus,,,,,,menses profuse long lasting continued,,,,,,,,,,,,,,,nervous irritation  genitals,,,,,,,,,,,,,,,,,,"nymphomania,averion own sex and children, sexual insomnia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,RhusToxicodendron,,,,,shooting upward in vagina,mensesearly profuse prolonged acrid,,,,,,,,,,,,,,swelling intense itch vulva,,,,,,,,,,,,,,,pelvic articulation joints stiff beginning to move,,,lochia thin protracted offensive diminished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Robinia,,,,,,discharge of blood between menses menstrual periods,leucorrhoea acrid fetid bad,,,,,,,,,,,,,herpes on vagina and vulva,,,,,,,,,,,,,,,,,,,nymphomaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Sabadilla,,,,,,menses too late come by fits and starts,,,intermit due to transient congestion uterus alternate anaemia state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Sabal serulata,,ovaries tender pain enlarged,,breast shrivel wrinkle contract,,,,,,,,,,,,,,,young female neurotics,,,,,,,,,,,,,,,,,,,,suppressed or perverted sexual inclination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Sabina,uterus pain extend thighs,inflamation ovaries uterus after abortion,,,,menses profuse bright,leucorrhoea after menses corrosive offensive,,haemorrhge bleeding partly clotted worse least movement motion,,promotes expulsion moles from uterus,,,,atony uterus,,,,,,,,thretend abortion miscarriage,,,,,,,,,,,,pain from sacrum to pubis and below upwards shooting up vagina,,,retaind plecenta intense sever pains,discharge blood between period menses with sexual excitement,,,,,,menorrhagia who aborted readily,,sexual desire increased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,SalixNigra,bleeding haemorrhage uterus fibroid,pain ovaries neurolgia congestion,,,,before during menses much nervous disturbence,,,,,difficult menses menstruation,,,,,,,,,,,,,,,,,,,,,,,,,,,,nymphomania,,,,,,menorrhagia  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Sanguinaria,uterus polyp,,,soreness breast,,menses offensive bad profuse,leucorrhoea fetid bad corrosive,,,,,,,,,,,,,before menses itching axila,,,,,,climacteric disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Sanicula,soreness uterus,,,,vagina feels large,,leucorrhoea odor fish brine old cheese,,,,,,,,,,,,,,,,,,,,,,escape content pelvis better rest,,,,,,bearing down asif contet pelvis escape desire want support parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Sarsaparilla,,,,nipples small withered retracted,,menses late scanty,,,,,moist eruptionin right groin before menses,,,,,,,,,before menses itching humid eruption on forehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,SecaleCornutum,burning uterus,,,,,"menses irregular copious ddark black ,oozing continious next menses",brownish offensive bad leucorrhoea,,,,passive bleed haemorrhage in feeble cachectic women,,,"suppression milk,breast do not fill properly",,,during labor no expusive power though every thing relaxed,suppressed urine,,,,,thretend abortion about third month,,,,,,,menstrual menses colic with coldness intolerance heat,,,,,,,,dark black offensive lchia,,,,puerperal fever putrid discharges tympanitis coldness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,SenecioAureus,,,,,,before menses inflamation throat chest bladder,,,,,after menses feel better ,,,,premature and too profuse menses,,,menses retarted suppressed,,,,,,,functional ammenorrhoea with backache in young girls,,,,,,anaemic dysmenorrhoea with urinary disturbence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Sepia,stitches upward in vagina from uterus to umbilicus,,,,prolapse uterus vagina ,menses too late scanty irregular early profuse,leucorrhoea yellow greenish with much itching,,,,,must cross limbs to prevent protrusion press against vulva,,,,,,,,,vagina very painfull esp on coition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Silicea,,,,nipples drawn in sore ulcerated fistulus hard lumps in breast,"abscess labia,vaginal cyst",increased menses with sudden or paroxysms icy coldness whole body,leucorrhoea milky acrid during urination,,discharge blood between menstrual periods menses,,,,,discharge blood from vagina every time child nursed,,,,,,"itching vulva and vagina,very sensitive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,SolidagoVirga,uterus enlargement,,, ,,,,,,fibroid tumors,,,,,organ pressed up on bladder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Spiranthes,,,,,"vulva red, dryness burning vagina",,leucorrhoea bloody,,,,,,,,,,,,,pruritis itching,burning pain during coition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Stannum,,,,,pain in vagina upward and back to spine,menses early profuse,leucorrhoea with great debility,,,,,,,,,,,,,,,,,,,,,,,prolapse with weak sinking in stomach,,,,,,,,,,,bearing down sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Staphysagria,,,,,,,leucorrhoea,,,,,,,,irritable bladder in young married women,,,,,,,,,,,,,parts sensitive worse sitting down,,prolapse sinking in abdomen,,,,,aching around hips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Sticta,,,,,,,,,,,,,,scanty flow of milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Stramonium,,,,,,,,,,,,,,,,,convulsions after labor,,puerperal mania with mental symptoms profuse sweatings,,,,,,,,,,,,,,metroragia with loquacity singing praying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,StrophanthusHispidus,"uterus bleeding haemorrhage,congested heavily",,,, ,,,,,,,,,,,,,,,,,,,,,aching pain through hips and thighs during climacteric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Stychninum,,,,,,,,,,,,,,,,,,,,,desire for coitus,,,,,,,,,,,,,,,,,,,,any touch on body excites voluptuous sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Sulphur,,,,nipples cracked smart burn,vagina burns,menses too late short scanty difficult thick black acrid makes parts sore,leucorrhoea burning ecoriate,,,,much offensive perspiration rapid swweting,,,,menses preceded headache or suddenly stopped,,,,,pudend itches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,SulphuriccumAcidum,,,erosion cervix in aged easily bleeding,,,menses early profuse,acrid bloody leucorrhoea often bloody mucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,SulphurosumAcidum,,,,,,,fluor albus debility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Syphilinum,,sharp knife pain in ovaries,,,ulcers on labia,,leucorrhoea profuse thin watery acrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,TancetumVulgare,,,,,,,,,,,,,,,,,,menses suppressed later profuse,,,,,,,,,,,,,dysmenorrhoea with bearing down pains tenderness drawing groins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,TarentulaHispania,,,,,vulva dry hot much itching,profuse menses bleeding frequent erotic spasms,,,,,,,,,,,,,,pruritis itching vulva,,,,,,,,,,,dysmenorrhoea with very sensitive ovaries,,,,,,,,nymphomania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Terebinthina,intense burning in uterus area region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metritis puerperal peritonitis,,,metrorrhagia with burning in uterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,ThaspiumAureum Zizia,,intermittent neurolgia left ovary,,,,,leucorrhoea acrid profuse with retarded menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,ThlaspiBursa,haemorrhage with violent uterus colic,,,,,menses bloody black dark offensive stains very difficult wash indedelibly,leucorrhoea before and after menses,,every alternate period menses very profuse,,scarcely hardly recovers one period before another begins,,,,,,,,,,,,,,,,,sore pain in uterus woomb on rising,,,,,metrorrhagia too frequent copious menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Thuja occidentalis,,sever pain left ovary inguinal region,,,,menses scanty retarted,profuse leuchorrhoea thick greenish,,,,profuse perspiration before menses,,,,polyp fleshy excrescences,,,,,warty excrescences on vulva and perineum,,,,,,,,ovaritis worse left side every menstrual menses period,,,,,,,,,,,,,vagina very sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Tilia Europa,intense sever sore feeling uterus bearing down with hot sweat without relief,,,,,,much slimy leucorrhoea when walking,,,,,,,,,,,,,,soreness redness external genitals,,,,,,,,,abdomen tenderness pain and hot sweat does not relive,,,,,pelvic inflamation tympanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,TrilliumPendulum,prolapse with great bearig down,,,,,,leucorrhoea copious yeollw stringy,,,haemorrhage bleeding from fibroids,,,,,,,dribbling urine after labor,,,,,,,,,,,gushing bright blood from least movement,,,,,,,uterus bleeding haemorrhage with sensation as hips back falling pieces better tight bandage,,,lochia suddenlybecome  sanguineous contain contain blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Tuberculinum,,,,benign breast mammary tumprs,,mense too early long lasting contineous,,,pain increases  establishment flow,,,,,,,,,,,,,,,,,,,,,,dysmenorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Urtica Urens,uterus haemorrhage bleeding  ,,,excessive swelling breasts,,,leucorrhoea acrid excoriating,,,,,,,arrests flow milkafter weaning,,,,,,pruritis itching vulva with stinging oesema swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Ustilago Madis,uterus hypertrophied,ovaries burn pain swelling,cervix bleed easily,,,vicarious menses,,,oozing blood blak dark clotted forming long black strings,,,,,,,,postpartum  bleeding haemorrhare,,,,,,profuse menses after miscarriage abortion dischrage blood from slight provocation irritation,,,,,,,,,,,,,,,profuse lochia,,,,,,,menorrhagia at climaxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Veleriana,,,,,,mensses late scanty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,VeratrumAlbum,,,,,,menses too early profuse exhausting,,,,,,,,,,,,,faint from least exertion,,,,,,,,,,,,dysmenorrhoea  with coldness purging  cold sweat,,,,,,,,sexual mania precedes menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,veratrumViride,rigid OS,,,,,menses menstrual colic before appearance discrge with strangury,,,,,,,,,,,,suppressed menses with congestion head,,,,,,,,,,,,,,,,,,,,,,,,puerperal fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,VespaCarbo,errosion aroundexternal OS,left ovary markedly affected frequent burning urine,,,,menses preceded by depression pain pressure constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sacral pain extending up back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Viburnum Opulus,,ovarian area region feel heavy congested,,,,"menses too late scanty lasting few hours,offensive crampy pain extend thighs",leucorrhoea excoriating,,,,bearing down before menses,,,,,,,,faint on attempting to sit up,,smarting itching genitals,,frequent early abortion misscarriage causing seemigly sterility,,,,,,,,spasmodic membranous dysmenorrhoea,,,,aching sacrum pubes with pain anterior thighs,,pains back to lions and uterus worse early morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,VincaMinor,passive uterus bleeding haemorrhage ,,,,,excessive menses with great weakness,,,,bleeding haemorrhage from fibroid,,,,,,,,,,,,,,,,continunous bleeding flow perticularly at climacteric,,,,,,,,,,,,,,,,,,,menorrhagia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ViscumAlbum,chronic endometrits,ovaralgia pain esp left ovary,,,,,,,,,bleeding haemorrhage partly clots bright red,,,,,,retained placenta,,,,,,,,,,,,,,,,metrorrhagia,,"pain from sacrum in to pelvis,with tearing shooting pain above downward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Wythia,"pain uterus, could out line its contour","pain left ovary , shooting down to knee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Xanthoxylum,,,,,,menses too early painful,leucorrhoea at menses,,,,"menses thick almost black dark, after pains",,,,,,,,neurasthaenic who thin emaciated poor assimilation with insomnia and occipitl headache,,,,,,,,ovary neurolgia pain worse left side extend down thigh along genito crural nervous,,,"ovarin neurolgia pain,lions and lower abdomen pain",neurolgic dysmenorrhoea with neurolgic headache pain back down legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Xerophyllum,,,,,,,,,,,,,,,,,,,,vulva inflamed with furious itching,,,,,,,,,,,,,,,,,,,incrased sexual desire with ovaries and uterus pain with leucorrhoea,,bearing down sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,ZincumMetallicum,,"ovary pain esp left,can not keep still",,breast painful nipples sore,,menses too late,,,,,complaints better during menses menstrual flow,,,,dry cough before or during menses,,,,all female symptoms with restlessness depression coldness spinal pain tenderness restless feet,,,,,,,,,,,,,,,,,menses flow more at night,,lochia suppressed,nymphomania of lying in women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Zincum Valerianum,,"ovaralgia pain ovary shoot down limbs,even to foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Abisinthium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dull ache,,,,,,,,tendency to fall backwards,,,wants headlow,,"Spsmodic twitch, face blue",,general confusion,,,"Pupils unequally dilated[gels,pic-ac]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Abies-can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"feels light head,tipsy irritable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Abies-nig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wakefull at night,"Dull ache during day,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Acetanilidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"enlarged ,fainting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
