Elaterium Ecbalium,,,,pain extends down extermities,,,,,,,,,,,,,,,,,,,"sharp pains in fingers and thumbs, knees, toes, and instep",,,,,,,pain hip-joints with diarrhoea,,,,,,,,gouty pain in great toes,,arthritic nodules,,,,,,,,,,,,,,,,,
Eucalyptus Globulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nodular swellings over metacarpal and metatarsal joints,,,,,,,"stiff, weary sensation, pricking sensation, followed by painfull aching",,,,,,,,,,"rheumatic pains; worse at night, walking or carrying anything",,,
Eugenia Jambos,,,,,,,,,,,,,,,,,,,,,,,,"skin recedes from the nails, forming pus",,,,,,,,,,,,,fissures between toes,skin cracks about toes,nightly cramps in soles of feet,,,,,,,,,,,,,,,,,,
Euonymus Atropurpurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feet feel swollen and tired,,,"aching in all joints, especially ankles",,,,,,,,,,,,,,,,,
Eupatorium Perfoliatum,,,,aching in bones of extermities with soreness of flesh,,,,,,,,,,,,,,,,aching in arms and wrists,,,,,,aching pain in back,,,,,,,,,,,swelling of left great toe,,,"gouty soreness and inflamed nodosities of joints, associated with headache",,dropsical swelling,,,,,,,,,,,,,,,
Euphorbium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in hip-joint and coccyx,,,,,,,,,,,,,,,,,paralytic pains,,,,,,,,,,
Eupion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cramps in calves, worse night",,,,,,,,,,,,,,,,,,,,,,,
Fagopyrum,,,,,,,,,,,,,"pain in shoulder, with pain along fingers",,,,streaking pains in arm and legs,,,,,,,,,,,,,,,,,"vehement (intense) itching in arms and legs, worse towards evening",,,,feet numb and pricking,,,,,,,,,,,,,,,,,,,
Ferrum Metallicum,,,,,,,,,,,,,rheumatism of the shoulder,,,,,,,,,,,,,,,"pain in hip-joint, tibia, soles, and heel",,,,,,,,,,,,,,,dropsy after loss of vital fluids,,,,,,,,,,,,,,
Ferrum Phosphoricum,"whitlow( abscess near finger, toe nail)",,,,,,,,,,,,rheumatic pain in shoulder; pain extend to chest and wrist,,,,,,,,,palms hot,hands swollen and painful,,,,,,,,,,,,,,,,,,articular (joints) rheumatism,,,,,,,,,,,,,,,,
Ferrum Picricum,,,,,,,,,,,,,,,,pain in right-side of neck and down right arm,,,,,,,hands covered with warts,,,,,,,,,,,,,,,,,,,,"locomotor ataxia, occular stage",,,," jerk walk, dilatation small blood vessel in eye and skin",,,,,,,,,,
Fluoricum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,nails crumble,,,,,,,"caries and necrosis, especially of femur (long bones)",,ulcers over tibia,,,,,,,inflamation of joints of fingers,,,,feeling as of a splinter under nail,,,,,,,,,,,,
Formica Rufa,,,,,,muscles feel strained and torn from their attachment,,,,,,,,,,,,,,,,,,,,,,weakness of lower extermities,,,pain in hips,,,,,,,,,,,rheumatic pains; stiff and contracted joints,rheumatism comes on with suddeness and restlessness,,,,,sweat does not relieve ,,,,,,,relief after midnight and from rubbing,paraplegia,
Gelsemium,,,,,excessive and trembling and weakness of all limbs,loss of power of muscular control,,,,,,,,,,,,,cramps in muscles of forearm,,,,,,,,,,,,,,,,,,,,,,,,"professional neuroses, writer's cramp",,,,,,,,,"hysteric convulsions, fatigue after slight exercise",,,,,
Ginseng,,,,,nightly digging in right lower limb to toes,,,,,,coldness in back and spine,skin feels tight,,,,,,,,,,,hands feel swollen,burning heat in tips of fingers,,,bruised pain in small of back and thighs,heavyness of lower limbs,,,,eruption on upper inner thighs,,,,,,,,,"stiff, contracted joints, crackling in joints",,stiffness in back,,contraction,,,,,,,,,,,,
Glonoine,,,,"itching all over, worse extermities",drawing pains in all limbs,,,,,,,,,,,,pain in left biceps,,,,,,,,,,backache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycerinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"feet painful, hot, feel enlarged",,,,,rheumatic pains of a remittent type,,,,,,,,,,,,,,
Gnaphalium,,,,,,chronic muscular rheumatism of back and neck,,,,,,,,,,,,,,,,,,,,,,,,intense pain along sciatica nerve; numbness alternates with pain,,,,rheumatic pain in legs and ankle joints,cramps calves of leg and feet when in bed,,,frequent pains in calves and feet,gouty pains in big toes,,pain in joints as if they lacked oil,,gouty concretions,,,,,,"better, drawing limbs up, flexing (bending) thighs on abdomen",,anterior (frontal) crural neuralgia,,,,,,
Granatum,,,,,,,,,,,,,"pain around shoulders, as if heavy load carried",,,,,,,,,,,pain in all finger-joints,,,,,,,,,tearing in knee-joint,,,,,,,,,,,,,,,,,,,,convulsive movements,,,,
Graphites,,,,,"pain in nape of neck, shoulders and back and limbs",,,,,,spinal pains,,,,,,arms feel asleep,,,,,,left hand numb ,"finger nails thick, black, and rough, cracks or fissures in ends of fingers","nails deformed, painful, sore, thick, and crippled",,pain in small of back with great weakness,oedema (swelling) of lower limbs,,,,excoriation between thighs,,,,,,offensive bad smell sweat perspiration feet,"toe-nails crippled, stiffness and contraction of toes ",,,,,,,,,,,,,,,,,,
Guaco,,,,,,,,,,,,,,,,,"pain in deltoid, shoulders, elbows, arms, and fingers",,,,,,,,,,,,,,pain about hip-joint,,,legs heavy ,,pain in ankle-joints and soles,,,,,,,,,,,,,,,,,,,,paralysis of lower extermities,
Guaiacum,,,,feeling of heat in the affected limbs,"stinging pain in limbs, arthritic lancinations followed by contraction of limbs",,,,,,,,"rheumatic pain in shoulders, arms and hands",,,,,,,,,,,,,,,,pricking in nates,"sciatica and lumbago, lower back pain",,,,,,"ankle pain extend up the leg, causing lameness",,,,,"joints swollen, painful, intolerant (cannot bear) of pressure or heat",,"gouty tearing, with contractions ",,,,,"growing, continuous pains",,,,,,,,,
Hamamelis Virginica,,,,,,very sore muscles and joints,,varicose veins,,,,,,,,,tired feeling in arms and legs,,,,,,,,,,"chilliness in back and hips, extending down legs",,,,,,,,,,,,,,,,,,,,,,,,neuralgia of internal saphenous (back to foot) nerve,,,,,,
Hedeoma,,,,,,,,,,,,,,,,,,,,,,,,pain in thumb-joint,,,,,,,,,,"tendo-achilles painful, as if sprained and swollen; walking painful",,,,,,,,,,,"twitchings,  jerking,  soreness",,,"pain, coldness and paretic condition",,,,,,,,,
Helleborus,,,,,"limbs heavy and painful,  stretching of limbs ",,,,,,,,,,,,automatic motion of one arm and leg,,,,,thumb drawn into palm,,,,,,,,,,,,,,,,,vesicular eruption between fingers and toes,,,,,,,,,,,,,,,,,,
Heloderma,,,,,,stretching relieves pains in muscles and limbs,,,,,,,,,,,,,,,,,"cyanosis of hands, coldness",,,,,,,,,,,,,,,feel cold as ice or burn,,,,,"staggeringgait,  Cock's gait,  when walking, lifts feet higher than usual, and puts down heel hard",,"sensation as if walking on sponge, and as if feet were swollen",,,,,,,,,,,,
Helonias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feet feel numb when sitting,,,,,,,sensation as if a cool wind streamed up on calves ,,,,,,,,,,,,
Hepar Sulphuris Calcareum,,,,,,,,,,,,,,,,,,,,,,,,finger-joint swollen,,,,,,,,,,,,,,,nail of great toe painful on slight pressure,,tendency to easy dislocation,,,,,,,,,,,,,,,,
Hippomanes,,,,,,,,,,,,,,,,,,,,"violent pain in wrist,  paralysis of wrists",,,great weakness of hands and fingers,,,,,,,,,,,,,,,,,,"weakness in joints of feet, knee, and soles",,much weakness after growing too fast,,sprained sensation in wrist,,chorea,,,,,,,,,,
Hippuric Acid,,,,,,,,,,,,,pain in shoulders and extermities and sore swollen joints,,,,,,,,,,,,,,backache extending down hips,,,,,"pain, in middle of thigh posteriorly (back) shooting down right leg",,,,,,,,,,,,,"tired, grating sensation in the joints",,,,,,,,,,,,
Hydrastis,,,,,,,,,,,,,,,,,must use arms in raising himself from seat,,,,,,,,,,"dull, heavy, dragging pain and stiffness, particularly across lumbar (back) region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyoscymus,,,,,,,,,,,,,,,,,,,,,,,plays with hands; reaches out for things,picking at bed clothes,,,,,,,,,,,cramps in calves and toes,,,,,,,,,,,,,,,,,spasms and convulsions,,,child sobs and cries without waking,,epileptic attacks ending in deep sleep
Hypericum,tetanus,,,,,,,,,,,numbness and flossy skin,darting pain in shoulders,,,lancinating pain in upper limb and lower limbs,,,pressure along ulnar side of arm,,,,crawling in hands and feet,"pain in toes and fingers, especially in tips",,,,,,,,,,,,,,,,,"hysterical,  joints feel bruised",,,,,,,,,,"neuritis, with tingling, burning pain, traumatic neuralgia",,,,,,
Iberis,,,,,,,,,,,,,,,,,,,,,,numbness and tingling in left hand and arm,,,,,,,,,,,,,,,,,,,,,,"whole body sore, lame and trembling",,,,,,,,,,,,,
Ignatia,,,,,jerking of limbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in tendo-Achilles and calf,,,,,,ulcerative pain in soles,,,,,,,,,,,,,,,,,,
Indigo,,,,,"pain in limbs, worse after every meal",,,,,sciatica,,,,,,,,,,,,,,,,,,,,,pain from middle of thigh to knee,"boring pain in knee-joint; better, walking",,,,,,,,,,,,,,,,,,,,,,,,,
Inidium,,,,,,,,,,,,,stiff in neck and shoulders,,,,"pain, especially in left arm",,,,,,,,,,,,,,,,legs restless and weary (tiredness),,,,,toes itch,,,,,,,,,,,,,,,,,,,
Indol,,,,,,,,,,,,,,,,,,,,,,,,,,,very tired and sore in lower limbs,,,,,knee-joints sore,,,,,,feet burn,,,,,,,,,,,,,,,,,,,
Inula,,,,,,,,,, ,,,pain in right shoulder and wrist,,,,,,,,tearing in left palm,,unable to double fingers,,,,"pain in lower limbs, feet and ankles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodoformum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness of knees when going upstairs,legs weak,,,,,,,,,,,,,cannot stand and walk with eyes closed,,,,,,,,,,,
Iodum,"white swelling, gonorrhoeal rheumatism",,,,,,,,,,,,,,,rheumatism of nape and upper extermities,,,,,,cold hands and feet,,,,,,,,,,,,,,,acrid sweat of feet,,,joints inflamed and painful,,pulsation in large arterial trunk,,constrictive sensation,,,nightly pains in joints,,,,,,,pain in bones at night,,,
Ipecacuanha,,,,,,,,,,,,,,,,,followed by spasmodic jerking of arms towards each other,,,,,,,,,,,,,,,,,,,,,,,,,body streched stiff ,,,,,,,,,,,,,,,
Iridium,,,,,,,,,,,"spinal paresis, especially fot the aged and after disease",,,,,,,,,,,,,,,weakness in the kidney region,,pressing in groin and thigh,,,tension both thighs especially left,,,,,,,,,,,,,dislocated feeling in left hip-joint,,,dull pain towards left gluteal region,,,,,,,,,,
Iris Versicolor,gonrrhoeal rheumatism,,,,,,,,,scaitica as if left hip-joint were wrenched,,,,,,,,,,,,,,,,,,,,,,,pain extend to popliteal space,,,,,,,,,,,,,,shifting pains,,,,,,,,,,
Jacaranda,gonorrhoeal rheumatism,,,,,morning soreness and stffness of muscles,,,,,,,,,,,,,,,,,itching pimples on hands,,,,weakness of lumbar region,,,,,rheumatic pain in right knee,,,,,,,gonorrhoeal and syphilitic arthritis,,,,,,,,,,,,,,,,,,
Jalapa,,,,,,,,,,,,,,,,,aching in arms and legs,,,,,,,smarting at root of nail,,,,,,,,,,,,,,pain in large joint of great toe,burning of soles,,,,,,,,,,,,,,,,,,
Jatropha,,,,,,"cramps in muscles especially calves, legs, and feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pain ankles, feet, and toes ",heels sensitive,,,,,,,,coldness of whole body,,,,,,,,,,,,,
Kali Bichromicum,syphilitic rheumatism,,,,,,"wandering pain, along bones; worse cold, bones feel sore and bruised",,,,,,,,,,,,,,,,,,,,,,"left-sided sciatica, better, motion",,,,tendo-Achilles swollen and painful,,,soreness of heels when walking,,,,"pain, swelling and stiffness and crackling of all joints",,pains fly rapidly from one place to another,,,,,pains in small spots,,,,,,,,,,
Kali Bromatum,,,,,,jerking and twitching of muscles,,,,,,,,,,,,,,,,"fidgety, restless, and busy hands",twitching fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kali Carbonicum,,,,,"uneasiness, heaviness, and tearing, and jerking in limbs, limbs sensitive to pressure",,,,,,,,,,,tearing in arms from shoulders to wrist,,,,lacerating in wrist-joint,,,tips of toes and fingers painful,,,backs and legs give out,,,,pain from hip to knee,,"white swelling, pain of knee",,,,,,"itching of great toe, with pain",soles very sensitive,,,,,limbs go to sleep easily,,,tearing pain in limbs with swelling,,,,,,,,"paralysis of old people, and dropsical affections",,
Kali Hydriodicum,,,,"formication of lower extermities when sitting,  better lying down",,,severe bone-pains,,,,,,,,,,,,,,,,,,,pains in small of back and coccyx,,,sciatica; cannot stay in bed; worse night and lying on affected side,"pain in hip, forcing limping",,rheumatism of knees with effusion,"periosteum thickened, especially tibia; sensitive to touch",,,,,,,contraction of joints,,,,,,,,,,,,,,,rheumatism; pains at night and in damp weather,,
Kali Muriaticum,,,,,,,,,,,,,,,,,,,,,,,hands get stiff while writing,,,,,,,,,,,,,,,,,rheumatic fever; exudation and swelling around the joints,,,,,,"rheumatc pain felt only during movement, or increased by it",,,,,,,,,nightlyy rheumatic pain; worse from warmth of bed,,
Kali Nitricum,,,,,,,,,,,,,stitches between shoulder-blades,,,,,,,,,hands and fingers seems swollen,,,,,,,,,,,,,,,,,,tearing and sticking in shoulders and joints,,,,,,,,,,,,,,,,,
Kali Phosphoricum,,,,paralytic lameness in back and extermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exertion aggravates,,"pains, with depression, and subsequent exhaustion",,,,,,
Kali Silicatum,,,,,stiffness over body and limbs,twitching of muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak and weary,,creeping sensation over limbs,,,,,,,,,,,,,
Kali Sulphuricum,,,,,"pain in nape, back and limbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shifting, wandering pains",,worse in warm room,,,,,,,,
Kalmia Latifolia,,,,,"pain affect large part limb, or several joints, and pass through quickly",,,,,,,,,,,,deltoid pain rheumatism especially right,,,,,,,,,,,,,pain from hip to knees and feet,,,,,,,,,,"joints red, hot, swollen",,"weakness, numbness, pricking, and sense of coldness in limbs",,"tingling and numbness,  left arm",,,"pain along ulnar nerve, index finger",,,,,,,,,,
Kreosotum,,,,,,,,,,,,,,scapulae sore,,,,,,,,,,,,,,,,boring pain in hip-joints,,,,,,,,,," pain in joints, hip and knee",,,,,,,,,,,,,,,,,
Laburnum,,,,,,,,,,,,,,,,,,,,,,numbness and pain in hands,,,,,,,,,,,,,,,,,,,,,,difficulty in moving hands,,,,,,,,,,,,,
Lac Caninum,,,,"rheumatic pains in extermities and back, from one side to another",,,,,,right-side sciatica,,,,,,,pain in arms to fingers,,,,burning in palms and soles,,,,,,,,,,,,legs feel numb and stiff,,,,cramps in feet,,,,,,,,,,,,,,,,,,,,
Lachesis,,,,,,,,,,"sciatica right-side, better lying down",,,,,,,"sensation threads stretched from back to arms, legs, eyes, etc",,,,,,,,,,,,,,,,"pain tibia, may follow sore throat",,,,,,,,shotening of tendons,,,,,,,,,,,,,,,,
Lacticum Acidum,,,,,limbs feel chilly,,,,,,,,"rheumatic pain in joints and shoulders, wrists, knees, with much weakness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trembling of whole body while walking,,,,,,,,,,,
Lactuca Virosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lame hip down left side; worse walking,,,"cramps shin bones, extending to toes and side leg involving calves",,,,coldness and numbness of feet and legs,,,,,,,,,,,,,,,,,,,,
Lappa Arctium,,,,eruption on extermities,"pain in hands, knees, and ankles extending downward to fingers and toes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in all joints,,,,,,,,,,,,,,,,,
Lathyrus,,,,,,"myelitis, with marked spastic symptoms",,,,,,,,,,,,,,,,finger tips numb,,,,,gluteal muscles and lower limbs emaciated,,,,,knees knock each other when walking,"excessive rigidity of legs; legs blue; swollen, if hanging down",calves muscles very tense,stiffness and lameness of ankles and knees,heels do not touch floor,"cramp in legs worse cold, and cold feet",toes do  not leave the floor,,,,cannot extend or cross legs when sitting,,"patient sits bent forward, straightens up with difficulty",,"tremulous, tottering gait, spastic gait",,,,,,,,,rheumatic paralysis,,
Latrodectus Mactans,,,,,paraesthesia of lower limb,,,,,,,,,,,"pain in left arm, feels paralysed",,,,,,,,,,,,,,,,,weakness of legs followed by cramps in the abdominal muscles,,,,,,,,,,,,,,,,,,,,,,,,
Laurocerasus,,,,,,,,veins of hand distended,,,,skin blue,,,,,,,,,,"finger and toe nails becomes knotty, clubbing of fingers",,,,,,,,"sprained pains in hips, thighs, heels",,,"cold, clamy feet and legs",,,,,,,,,,,,,,,,,,,,,,,,
Lecithin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"soreness, aching, lack of energy, tired, weak",,,,,,,,,,,,,,,
Ledum,gouty nodosities,,,,rheumatism begins in lower limbs and ascends,,,,,,,,throbbing in right shoulder,,,,,,,,,,,,,,,,,,,,,,"ankle swollen, easily sprained",,"gouty pain shoot all through foot and limbs, and in joints especially small joints",ball of great toe swollen,"soles painful, can hardly step on them","crackling in joints; worse, warmth of bed",,"pressure in shoulder, worse motion",,,,,,,,,,,,,,,
Lilium Tigrinum,,,,,,,,,,,,,,,,,pain in right arm and hip,,,,burning palms and soles,,pricking in fingers,,,"pain in back and spine, with trembling, but often in front of a pressing-down character",,,,,,,"legs ache; pain,  cannot keep them still",,pain in ankle joint,,,,,,,,,,,cannot walk on uneven ground,,,,,,,,,,,
Limulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right hip-joint pain,,,,,,heels sore ,,,"soles of feet ache, feel numb",,,,,,,,,,,crural neuralgia,,,,,,,
Lithium Carbonicum,,,,,,,,,,,,,"rheumatic pain throughout shoulder-joint, arm, and fingers and small-joints",,,,,,,,,,"swelling and tenderness of finger and toe joints; better, hot water",,,,,,,,,"pain in hollow of foot, extending to knee",,,ankles pain when walking,,,,,"itching about joints, nodular swelling in joints",,,,,,,,,,,,,,,paralytic stiffness all over,,
Lolium Temulentum,,,,"loss of power in extremities, cold extermities",trembling of all limbs,,,,,,,,,,,,spasmodic motions of arms and legs,,,,,,,,,,,,,,,,,"violent pain in calves, as if bound with cords",,,,,,,,cannot write; hold a glass of water,,,,gait unsteady,,,,,,,,,trembling of hands in paralysis,,
Lonicera Xylosteum,,,,"extermities cold,  cold perspiration ",limbs and head fall over as if paralyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jerking of limbs, trembling of whole body",,,,,,,,,violent convulsions,,,,,,
Lycopodium,,,,"right foot hot, left foot cold",limbs go to sleep ,,,,,,,,tearing pain in shoulder and elbow joints,,,,heaviness of arms,,,,,hands and feet numb,,,,,,,"sciatica, worse right side",,,,,cramps in calves and toes at night in bed,,pain in heel on treading as from a pebble,"one foot hot, another cold, profuse sweat of the feet",toes and fingers contracted,painful calosities on soles,"chronic gout, with chalky deposits in joints",,twitching and jerking,,cannot lie on painful side,,,painful worse right side ,,,,,,,"numbness, also drawing and tearing in limbs, especially while at rest or at night ",,,
Magnesia Carbonica,,,,,,,,,,,,,tearing in shoulder as if dislocated,,,,,,,,,,,,,,,,,,,swelling in bend of knee,,,,,,,,,,,,"whole body feels tired and painfull, especially legs and feet",,,"right shoulder painful, cannot rise it",,,,,,,,,,
Magnesia Muriatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in back and hips ,,,pain in arms and legs,,,,,,,,,,,,,,,,,,,,arms go to sleep when waking in morning,,,,
Magnesia Phosphorica,,,,,,general muscular weakness,,,,sciatica; feet very tender pain,,,,,,,weakness in arms and hands; finger-tips stiff and numb,,,Writers and Players' cramps,,involuntary shaking of hands,,,,,,,,,,,,cramps in calves  ,,,,,,,,,,tetanic spasms,,"twitching, chorea",darting pains ,,,,,,,,"paralysis agitans, impaired sensation",,
Magnesia Sulphurica,,,,,,,,,,,,,,,,,"left arm and foot fall asleep in bed, in the morning after walking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia Grandiflora,,,,,shooting in all limbs,,,,,,,,,,rheumatic pain in clavicles,,numbness in left arm,,,,,,,,,,,,,,,,,,,,feet itch,,,,,,,,,,stiffness and sharp erratic pains; worse in joints,,,,,,,,,,
Mancinella,,,,,,,,,,,,,,,,,,,,,,icy coldness of hands and feet,pain in thumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganum Aceticum,Wilson' disease,,,periosteal inflammation,,muscular twitching,"inflamation of bones and joints, nightly digging pain",,,,,suppuration of skin around joints,,,,,,,,,,,,,,,intolerable pain in skin of lower limbs,,,,,knees pain and itch,"stiffness in muscles of legs, legs feel numb",cramps in calves,ankles painful,,"peculiar slapping gait, walks metacorpo-phalangeal joint; walks backwards",,,shiny red swelling (burning spots) of joints,,"every part body feels sore to touched, rheumatism of feet",,,,"cannot walk backwards without falling, tendency to fall forward ",,,,,walks stooping forward,,,,paralysis agitans,,
Medorrhinum,gouty concretions,,,,,,,,,,,,,,,,,,,,,"restless; better, clutching hands","finger-joints enlarged, puffy",,,"pain in back, with burning heat",,,,,,,legs heavy; ache all night; cannot keep them still,,,"heels and balls of feet tender, pain",,,soreness of soles,,,,,burning of hands and feet,,ankles easily turn when walking,,,,,,,,,,,
Melilotus,,,,skin and extermities cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in knee; wants to stretch leg, but does not relieve",,,,,,,,joints sore,,,,numbness and aching in knee-joints,,,,,,,,,,,,,
Menispermum,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in back, thighs, elbows, shoulders, legs sore as if bruised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes,,,,,,,,,,,,,,,,,,,,,,icy coldness of hand and feet,,,,,,,,,,,"as soon as patient lies down, legs jerk and twitch",,,,,,,,,,,,,,cramp-like pain,,,,,,,,,,
Mercurius,,,,trembling extermities especially hands,weakness of limbs,,"bone-pains and in limbs; worse, night",,,,,,,,,,,,,,,,,,,,,,,,,,dropsicle swelling of feet and legs,,,,,,,lacerating pain in joints,,oily perspiration ,,patient very sensitive to cold,,,,,,,,,,"cold,clamy sweat on legs at night",paralysis agitans,,
Mezereum,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in neck and back; worse, movement and at night",,,,pain in hip and knee,,,pain and burning in tibia and long bones,,,,legs and feet go to sleep,,,,,,,intolerant of all touch,,,,,,,,,,,,,
Morphinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"staggering gait, numbness",,,,,,,,,,,
Muriaticum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in tendo-Achilles,,,,,,,,"heavy, painful and weak",,tottering gait,,,,,,,,,,,
Mygale Lasiodora,,,,,limbs drag while walking,,,,,,,"intense redness in steaks, followwing course of lymphatics",,,,,,,,,,,,,,,,,,,,,"covulsive, uncontrolable movements of legs and arms",,,,,,,,,"constant motion of whole body, tremulous",,,,unsteady gait,,,,,,,,,,,
Myrica,,,,,,pain in all muscles,,,,,,,pain under shoulder-blades and back of neck,,,,,,,,,,,,,,,,,,,,,,,,pain in hollow of right-foot,,,,,,,,,,,,,,,,,,,,
Natrun Arsenicum,,,,,,,,,,,,,,,,,aching in arms; worse in shoulder,,,,,,,,,,,,,,"pain in thighs, anterior crural nerves",knee-joints crack,,,,,,,,joints stiff,,feels tired all over,,,,,,,,,,,,,,,
Natrum Carbonicum,old sprains,,,,,,,,,,,,,,,,,,,,,chapped hands,soreness between toes and fingers,,,,,,,,,hollow of knee is painful on movement,,,easy dislocation and spraining of ankles,heel and tendo-Achilles affected,foots bends under,,,,,,,icy cold up to knees,,,,,,,,,great weakness of limbs especially in morning,,,,
Natrum Chloratum,,,,,,,,,,,,,,,,,,,,,,hands swollen every morning,,,,,,,,,,extreme weakness in knees and ankles,,,,,,,,,,,,,,,,,,,,,,,,,
Natrum Muriaticum,,,,,,painful contractions of hamstrings,,,,,,,,,,,,,,,palms hot and perspiring,,,"hangnails, dryness and crackling about finger-nails",,pain in back with desire for firm support,numbness and tingling in fingers and lower extremities,,,,,,"arms, and legs, but especially knees feel weak",,ankles weak and turn easily,,,,,crackling in joints on motion,,every movement accelerates the circulation,,"coldness of legs with congestion to head, chest, and stomach",,,,,,,,,,,,,
Natrum Phosphoricum,rheumatic arthritis,,,,,hamstring sore,,,,,,,,,,,,,,"weariness; aching in wrists, finger-joints",,,,,,,,,,,,rheumatism of the knee-joint,,,,,,,,synovial crepitations,,,,,,,,,,,,,,,,,
Natrum Sulphuricum,gout,swelling of axillary glands,,,"pain in limbs, compels frequent change in position, run-arounds",,,,,,,,,,,,,,,,,,,inflammation around root of nails,,,,,,"pain in hip-joints, worse left, worse, stooping",,stiffness of knees,,,,,oedema of feet,itching between toes,burning in soles,crackling of joints  ,,,,,,,,,"rheumatism, worse in damp cold weather",,,,,,,,
Niccolum Sulphuricum,,,,,,,,,,,spine sore ,,,,,,,,,,,,,,,,,,,,,,"spinal pains, legs and arms heavy and weak, cannot lie on back",,,,,,awakened in morning with burning soles,,,,,"stiff, numb sensation, worse in neck",,,,,,,,,,,,,
Nitricum Acidum,,,,,,,,,,,,,,,,,,,,,,"sweating of palms, hands; cold, blue nails",,,,,,,,,,,,,,," fetid foot-sweat causing soreness of toes, with sticking pain; chillblains on toes ",,,,,,,,,,,,,,,,,offensive sweat in axillae at night,,,
Nux Moschata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pain in hip to knee; worse, motion especially going upstairs",,,,,,,"rheumatism from getting feet wet, exposure to draughts",,,,,fatigue on slightest exertion,,,,,,"rheumatism relieved by dry, warm clothes",,,,,,,,,
Nux Vomica,,,,,,,,,,,,,,,,,"paresis of arms, with shocks",,,,,arms and hands go to sleep,,,,,,,,,,crackling in knee-joints during motion,legs numb; feel paralyzed; cramp in calves and soles,,,,,,,,,,,,,patient drags feet when walking,,,,,,,sudden loss of power in arms and legs in the morning,,partial paralysis from over exertion or getting soaked,,
Oenanthe Crocata,,,,,,,,,,,,,,,,,,,,,,numbness of hand and foot,,,,,,,"pain along crural and sciatic nerves, commencing in back",,,,,,,,cold hands and feet,,,,,convulsions; opisthotonos,,,,,,,,,,,,,,,
Oleander - Nerium Odorum,,,,,,,,"veins on hands swollen, oedema",,,,,,,,,,,,,,,"swelling, burning stiffness of fingers",,,,weakness of lower limbs,,,,,,,,,,paralysis of legs and feet,,,stiffness of joints,,want of animal heat in limbs,,constant cold feet,,,,,,,,,,,,,
Oleum Animale,,,,,,,,,,,,,rheumatic pain in shoulders,,,,,,,,,,,,,sprained feeling in small of back,,,,,,,,,,fish-brine odor of sweat of heel,,,,,,crakling vertebrae on rising head,,restlessness,,,,,,,,,,,,,
Oleum Jecoris Aslli,,,,,,,,,,,,,,,,,,"aching in elbows and knees, in sacrum",,,burning in palms,,,,,,,,,,,,,,,,,,,,"chronic rheumatism, with rigid muscle and rendons",,,,,,,,,,,,,,,,
Onosmodium,,,,,,great muscular weakness and weariness,,,,,,,,pain in left scapular region,,,,,,,,,,,,pain in back,,,,,,,"tired and numb feeling in legs, popliteal spaces, and below knees",,,,,,,,,,,,,"staggerring gait, side-walk seems too high",,,,,,,,,,,
